                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,      metrics/precision,         metrics/recall,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9105,                0.27816,                0.64368,                0.46092,                      0,                 3.1552,               0.070138,               0.003318,               0.003318
                      2,                 1.8518,                0.51264,                0.84598,                0.67931,                0.35637,                 2.9829,               0.040006,              0.0065197,              0.0065197
                      3,                 1.6461,                0.58621,                0.94023,                0.76322,                0.62293,                 2.8925,              0.0097422,              0.0095893,              0.0095893
                      4,                 1.5195,                0.70115,                0.94253,                0.82184,                 0.6202,                 2.8278,               0.009406,               0.009406,               0.009406
                      5,                 1.2329,                0.74023,                0.97471,                0.85747,                0.71524,                 2.7829,               0.009208,               0.009208,               0.009208
                      6,                 1.1744,                0.72414,                0.96552,                0.84483,                0.77943,                   2.76,                0.00901,                0.00901,                0.00901
                      7,                 1.0646,                 0.7977,                0.97931,                0.88851,                0.79378,                 2.6847,               0.008812,               0.008812,               0.008812
                      8,                 1.0057,                0.84598,                 0.9954,                0.92069,                 0.8202,                 2.6621,               0.008614,               0.008614,               0.008614
                      9,                0.97157,                0.87126,                 0.9908,                0.93103,                0.85959,                 2.6163,               0.008416,               0.008416,               0.008416
                     10,                0.95545,                0.87586,                0.98851,                0.93218,                0.86536,                 2.6433,               0.008218,               0.008218,               0.008218
                     11,                0.88974,                0.86437,                 0.9977,                0.93103,                0.89814,                 2.5945,                0.00802,                0.00802,                0.00802
                     12,                0.86349,                0.82759,                 0.9908,                 0.9092,                0.86687,                 2.6563,               0.007822,               0.007822,               0.007822
                     13,                0.92815,                0.83908,                0.98621,                0.91264,                0.86985,                 2.6644,               0.007624,               0.007624,               0.007624
                     14,                0.87884,                0.83908,                 0.9954,                0.91724,                0.86962,                 2.6608,               0.007426,               0.007426,               0.007426
                     15,                0.79258,                0.90345,                      1,                0.95172,                0.85997,                 2.5871,               0.007228,               0.007228,               0.007228
                     16,                0.74165,                0.93103,                 0.9931,                0.96207,                0.92067,                 2.5383,                0.00703,                0.00703,                0.00703
                     17,                0.70884,                0.86667,                 0.9954,                0.93103,                0.93963,                 2.6149,               0.006832,               0.006832,               0.006832
                     18,                0.75894,                0.89885,                 0.9931,                0.94598,                0.88841,                 2.5917,               0.006634,               0.006634,               0.006634
                     19,                0.66918,                0.89655,                 0.9931,                0.94483,                 0.9178,                 2.5831,               0.006436,               0.006436,               0.006436
                     20,                0.69204,                0.88736,                      1,                0.94368,                0.91188,                 2.5644,               0.006238,               0.006238,               0.006238
                     21,                0.65884,                0.90345,                 0.9977,                0.95057,                0.90724,                 2.5656,                0.00604,                0.00604,                0.00604
                     22,                0.71122,                0.92184,                 0.9977,                0.95977,                0.91539,                 2.5502,               0.005842,               0.005842,               0.005842
                     23,                0.59093,                0.93563,                      1,                0.96782,                0.92909,                 2.5248,               0.005644,               0.005644,               0.005644
                     24,                0.53776,                0.93563,                 0.9954,                0.96552,                0.94175,                 2.5276,               0.005446,               0.005446,               0.005446
                     25,                0.58401,                0.91724,                 0.9931,                0.95517,                0.94457,                 2.5433,               0.005248,               0.005248,               0.005248
                     26,                0.57262,                0.94943,                      1,                0.97471,                0.92614,                 2.5246,                0.00505,                0.00505,                0.00505
                     27,                0.56263,                0.94713,                      1,                0.97356,                0.95475,                 2.5233,               0.004852,               0.004852,               0.004852
                     28,                0.51516,                0.92874,                      1,                0.96437,                0.95344,                 2.5344,               0.004654,               0.004654,               0.004654
                     29,                0.54437,                0.94713,                 0.9977,                0.97241,                0.93568,                  2.518,               0.004456,               0.004456,               0.004456
                     30,                0.49961,                0.91954,                 0.9977,                0.95862,                0.95507,                 2.5337,               0.004258,               0.004258,               0.004258
                     31,                0.45249,                0.96092,                      1,                0.98046,                  0.934,                 2.4941,                0.00406,                0.00406,                0.00406
                     32,                0.46067,                0.95402,                 0.9977,                0.97586,                0.96785,                 2.4987,               0.003862,               0.003862,               0.003862
                     33,                0.47031,                0.95632,                      1,                0.97816,                 0.9581,                 2.4921,               0.003664,               0.003664,               0.003664
                     34,                0.40231,                0.97931,                      1,                0.98966,                0.96199,                  2.475,               0.003466,               0.003466,               0.003466
                     35,                0.39519,                0.96552,                      1,                0.98276,                0.98041,                 2.4834,               0.003268,               0.003268,               0.003268
                     36,                0.41326,                0.97701,                      1,                0.98851,                0.96749,                 2.4716,                0.00307,                0.00307,                0.00307
                     37,                0.34121,                0.96782,                 0.9977,                0.98276,                0.97809,                 2.4815,               0.002872,               0.002872,               0.002872
                     38,                0.33482,                0.96092,                      1,                0.98046,                0.97075,                 2.4824,               0.002674,               0.002674,               0.002674
                     39,                0.32746,                0.96552,                      1,                0.98276,                 0.9677,                 2.4774,               0.002476,               0.002476,               0.002476
                     40,                0.31987,                0.97701,                      1,                0.98851,                0.97032,                   2.46,               0.002278,               0.002278,               0.002278
                     41,                0.31485,                0.97701,                      1,                0.98851,                0.97809,                 2.4659,                0.00208,                0.00208,                0.00208
                     42,                0.28953,                0.98851,                      1,                0.99425,                0.98071,                 2.4547,               0.001882,               0.001882,               0.001882
                     43,                0.29004,                0.98161,                      1,                 0.9908,                0.98994,                 2.4562,               0.001684,               0.001684,               0.001684
