                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,      metrics/precision,         metrics/recall,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89782,                 0.6848,                0.92871,                      0,                      0,                  2.927,               0.070112,              0.0033208,              0.0033208
                      2,                0.67517,                0.88555,                0.99625,                0.65105,                0.68919,                 2.7509,               0.039981,              0.0065224,              0.0065224
                      3,                 0.5067,                0.91932,                      1,                  0.932,                0.88609,                 2.7204,              0.0097169,               0.009592,               0.009592
                      4,                0.37391,                0.94747,                0.99812,                0.91666,                0.91961,                 2.6684,               0.009406,               0.009406,               0.009406
                      5,                0.37547,                0.91557,                0.95685,                0.96457,                0.94764,                 2.7027,               0.009208,               0.009208,               0.009208
                      6,                0.35782,                0.98124,                      1,                0.91637,                0.91623,                 2.6258,                0.00901,                0.00901,                0.00901
                      7,                0.26939,                0.95685,                      1,                0.98664,                0.98174,                 2.6533,               0.008812,               0.008812,               0.008812
                      8,                0.28298,                0.97373,                0.99812,                 0.9668,                0.95765,                 2.6415,               0.008614,               0.008614,               0.008614
                      9,                0.23832,                 0.9925,                      1,                0.98125,                0.97472,                 2.6174,               0.008416,               0.008416,               0.008416
                     10,                0.28505,                0.93996,                0.99812,                0.99316,                0.99304,                   2.67,               0.008218,               0.008218,               0.008218
                     11,                0.20299,                0.98874,                0.99812,                0.95951,                0.94137,                 2.6196,                0.00802,                0.00802,                0.00802
                     12,                0.23302,                0.96998,                0.99625,                0.99172,                0.99009,                  2.641,               0.007822,               0.007822,               0.007822
                     13,                 0.2333,                0.99062,                      1,                0.98093,                0.97032,                 2.6173,               0.007624,               0.007624,               0.007624
                     14,                0.22797,                0.99062,                      1,                0.99187,                0.99158,                 2.6189,               0.007426,               0.007426,               0.007426
                     15,                0.25651,                0.96811,                0.99625,                0.99351,                0.99168,                 2.6392,               0.007228,               0.007228,               0.007228
                     16,                0.20437,                0.99437,                      1,                0.98016,                0.96837,                 2.6187,                0.00703,                0.00703,                0.00703
                     17,                 0.1465,                0.97186,                0.99625,                0.99484,                0.99483,                 2.6373,               0.006832,               0.006832,               0.006832
                     18,                0.18457,                0.97373,                0.99812,                0.98271,                0.97218,                  2.634,               0.006634,               0.006634,               0.006634
                     19,                0.15703,                 0.9925,                      1,                0.97997,                0.97377,                 2.6175,               0.006436,               0.006436,               0.006436
                     20,                0.16696,                0.98874,                      1,                0.99353,                0.99304,                 2.6213,               0.006238,               0.006238,               0.006238
                     21,                0.15332,                0.99062,                      1,                0.99172,                0.99018,                 2.6155,                0.00604,                0.00604,                0.00604
                     22,                0.11815,                0.99625,                      1,                0.99297,                0.99187,                 2.6087,               0.005842,               0.005842,               0.005842
                     23,                0.14627,                0.99625,                      1,                0.99683,                0.99663,                 2.6093,               0.005644,               0.005644,               0.005644
                     24,                0.11885,                0.99625,                      1,                0.99663,                0.99663,                 2.6088,               0.005446,               0.005446,               0.005446
                     25,                0.12007,                0.98687,                0.99812,                0.99663,                0.99663,                 2.6248,               0.005248,               0.005248,               0.005248
                     26,                 0.1224,                      1,                      1,                0.98941,                 0.9871,                 2.6093,                0.00505,                0.00505,                0.00505
                     27,                 0.1201,                0.99625,                      1,                      1,                      1,                 2.6119,               0.004852,               0.004852,               0.004852
                     28,                0.10071,                0.98874,                      1,                0.99699,                0.99653,                 2.6175,               0.004654,               0.004654,               0.004654
                     29,                0.10038,                 0.9925,                      1,                0.99172,                0.98987,                 2.6121,               0.004456,               0.004456,               0.004456
                     30,                0.10487,                 0.9925,                      1,                0.99413,                0.99345,                 2.6122,               0.004258,               0.004258,               0.004258
                     31,                0.09078,                0.99625,                      1,                0.99403,                0.99336,                 2.6074,                0.00406,                0.00406,                0.00406
                     32,                0.10438,                 0.9925,                      1,                0.99683,                0.99663,                 2.6115,               0.003862,               0.003862,               0.003862
                     33,                0.08056,                0.99625,                      1,                0.99362,                0.99313,                 2.6096,               0.003664,               0.003664,               0.003664
                     34,                0.08202,                0.99812,                      1,                0.99683,                0.99663,                 2.6073,               0.003466,               0.003466,               0.003466
                     35,                0.07497,                0.99437,                      1,                0.99841,                0.99821,                  2.609,               0.003268,               0.003268,               0.003268
                     36,                0.06432,                0.99625,                      1,                0.99556,                0.99485,                 2.6077,                0.00307,                0.00307,                0.00307
                     37,                0.05756,                0.99437,                      1,                0.99683,                0.99663,                 2.6118,               0.002872,               0.002872,               0.002872
                     38,                0.04878,                0.99812,                      1,                0.99505,                 0.9944,                 2.6061,               0.002674,               0.002674,               0.002674
                     39,                0.05522,                0.99812,                      1,                0.99841,                0.99821,                 2.6062,               0.002476,               0.002476,               0.002476
                     40,                0.05156,                0.99625,                      1,                0.99841,                0.99841,                 2.6078,               0.002278,               0.002278,               0.002278
                     41,                0.06097,                0.99625,                      1,                0.99683,                0.99663,                 2.6081,                0.00208,                0.00208,                0.00208
                     42,                0.04239,                0.99625,                      1,                0.99683,                0.99663,                 2.6069,               0.001882,               0.001882,               0.001882
                     43,                0.02975,                0.99812,                      1,                0.99683,                0.99663,                 2.6062,               0.001684,               0.001684,               0.001684
                     44,                0.03003,                0.99812,                      1,                0.99841,                0.99821,                 2.6048,               0.001486,               0.001486,               0.001486
                     45,                0.02642,                0.99812,                      1,                0.99841,                0.99821,                 2.6054,               0.001288,               0.001288,               0.001288
                     46,                0.02655,                0.99625,                      1,                0.99841,                0.99821,                 2.6064,                0.00109,                0.00109,                0.00109
                     47,                0.01733,                0.99812,                      1,                0.99683,                0.99663,                 2.6065,               0.000892,               0.000892,               0.000892
                     48,                0.01419,                0.99812,                      1,                0.99841,                0.99821,                 2.6053,               0.000694,               0.000694,               0.000694
                     49,                0.01254,                0.99812,                      1,                0.99841,                0.99821,                 2.6047,               0.000496,               0.000496,               0.000496
